id,название,иконка,редкость,цена,клеток,форма_бокс,форма,контейнер,слотов_внутри,только_крафт,в_магазине,класс,теги,кд_сек,стамина,урон_стат,защита_стат,хп_стат,гнёзда,золото_раунд,мин_раунд_магазин,типы_эффектов,типы_мета_эффектов,триггеры,механики_боя,механики_магазина,синергий,синергии,описание,подсказки_билда,оценка_силы,сила_на_клетку,цена_на_клетку,норма_сила_клетка_редкость,отклонение_от_нормы_редкости,отклонение_от_глоб_нормы
pocket_sand,Карманный песок,🏖️,common,2,1,1×1,1×1,нет,,нет,да,,accessory; debuff; nature,0,0,0,0,0,0,0,,statMult; gainStack,,passive; battle_start,statMult @passive v=0.08 stat=damage | gainStack @battle_start v=1 stack=luck,,0,,В начале боя: +1 удача.,,5.5,5.5,2,5.5,1,0.655
dagger,Кинжал,🔪,common,2,1,1×1,1×1,нет,,нет,да,,weapon,1.5,8,2,0,0,0,0,,damage; extraAttackOnStun,,passive,damage v=2 rng=1-3 | extraAttackOnStun @passive,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,18.6,18.6,2,5.5,3.382,2.214
walrus_tusk,Клык моржа,🦷,common,4,1,1×1,1×1,нет,,нет,да,,accessory; spikes; nature,0,0,0,0,0,0,0,,statMult; passiveDefense; gainStack,,passive; battle_start,statMult @passive v=0.08 stat=damage | passiveDefense @passive v=1 | gainStack @battle_start v=1 stack=spikes,,0,,"В начале боя: получить 1 шип. +8% урона, +1 защиты.",,6.9,6.9,4,5.5,1.255,0.821
leather_bag,Кожаная сумка,👜,common,4,4,2×2,2×2 (4 кл.),да,4,нет,да,,bag,0,,0,0,0,0,0,,,,,,,0,,+4 слота рюкзака.,Расширение инвентаря · Ветка: Fanny Pack → Holdall,0,0,1,5.5,0,0
leather_pouch,Кожаный мешочек,👝,common,2,2,1×2,1×2 (2 кл.),да,2,нет,да,,bag,0,,0,0,0,0,0,,,,,,,0,,,,0,0,1,5.5,0,0
piggybank,Копилка,🐷,common,3,1,1×1,1×1,нет,,нет,да,,accessory; melee; treasure,0,0,0,0,0,0,0,,passiveMaxHp; max_hp_per_start_item,gain_buff,passive; battle_start; shop_enter,passiveMaxHp @passive v=2 | max_hp_per_start_item @passive v=2 | max_hp_per_start_item @battle_start v=2,gain_buff @shop_enter v=1,0,,В начале боя: +2 макс. HP за каждый предмет «начало боя».,,1.2,1.2,3,5.5,0.218,0.143
shortbow,Короткий лук,🏹,common,4,2,1×2,1×2 (2 кл.),нет,,да,нет,rogue,weapon; ranged; craft,1.8,1,2,0,0,1,0,,damage; onHitCapBonus,,on_hit,damage v=2 rng=2-3 | onHitCapBonus @on_hit v=1,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: +1 урона (до 3).,,14.8,7.4,2,5.5,1.345,0.881
rat,Крыса,🐀,common,4,1,1×1,1×1,нет,,да,нет,rogue,pet; craft,3.3,0,0,0,0,0,0,,periodic; cooldownMultPerTag,,passive,periodic @passive ch=75% int=3.3 | cooldownMultPerTag @passive tags=pet+food,,0,,Каждые 3.3с: 5 маг. урона и 75% +1 яд.,,10,10,4,5.5,1.818,1.19
lump_of_coal,Кусок угля,🪨,common,2,2,2×1,2×1 (2 кл.),нет,,нет,да,,accessory; fire,3,0,0,0,0,0,0,,statMult; groundFire; onHitCapBonus; gainStack; periodic,,passive; on_hit; battle_start,statMult @passive v=0.08 stat=damage | groundFire @passive v=1 | onHitCapBonus @on_hit v=1 ch=70% | gainStack @battle_start v=8 stack=heat | periodic @passive int=3,,0,,70% +1 урона при атаке. В начале боя: +8 жара. Каждые 3с: случайный стак.,,63.8,31.9,1,5.5,5.8,3.798
broom,Метла,🧹,common,4,2,1×2,1×2 (2 кл.),нет,,нет,да,,weapon; debuff; melee,1.7,1.5,3,0,0,1,0,,damage; attackBuff; poison,,on_miss; on_hit,damage v=3 rng=2-4 | attackBuff @on_miss v=2 | poison @on_hit v=1 ch=33%,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При промахе: +2 урона след. атаке. При попадании: 33% +1 яд.,,17.3,8.65,2,5.5,1.573,1.03
apprentice_staff,Посох ученика,🪄,common,3,2,1×2,1×2 (2 кл.),нет,,нет,да,,weapon; magic,2.5,12,2,0,0,0,0,,damage,,,damage v=2 rng=1-3,,3,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1 | magic_near_gem strong →gem +cooldownReduction:0.08,,,7,3.5,1.5,5.5,0.636,0.417
cork_charm,Пробка-оберег,🧿,common,2,1,1×1,1×1,нет,,нет,да,,utility,5,0,0,0,0,0,0,,block,,,block v=2,,0,,,,2.4,2.4,2,5.5,0.436,0.286
rusty_sword,Ржавый меч,🗡️,common,2,2,1×2,1×2 (2 кл.),нет,,нет,да,,weapon,2.5,12,2,0,0,0,0,,damage,,,damage v=2 rng=1-3,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,6.9,3.45,1,5.5,0.627,0.411
pan,Сковородка,🍳,common,4,2,1×2,1×2 (2 кл.),нет,,нет,да,,weapon; melee; food; craft,2,2,5,0,0,1,0,,damage; damagePerTag,,passive,damage v=5 rng=5-6 | damagePerTag @passive v=1 tag=food,,3,migrated_damage_1_per_tag strong →food +damageBonus:1 | weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,+1 урона за каждый предмет с тегом «еда».,,27.3,13.65,2,5.5,2.482,1.625
chipped_amethyst,Сколотый аметист,◇💜,common,1,1,1×1,1×1,нет,,нет,да,,gem; magic; craft,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=0.1 stat=magicDamage,,1,magic_near_gem strong →gem +cooldownReduction:0.08,Сколотый аметист: Сокет оружия: Шанс снять баффы на попадание. Сокет аксессуара: +маны. Сокет брони: +магия сопротивление.,,1.6,1.6,1,5.5,0.291,0.19
chipped_emerald,Сколотый изумруд,◇💚,common,1,1,1×1,1×1,нет,,нет,да,,gem; nature; craft,3,0,0,0,0,0,0,,heal; passiveMaxHp,,passive,heal v=3 | passiveMaxHp @passive v=5,,0,,Сколотый изумруд: Сокет оружия: Лечение на попадание. Сокет аксессуара: +макс. ОЗ. Сокет брони: +реген.,,6.1,6.1,1,5.5,1.109,0.726
chipped_ruby,Сколотый рубин,◇❤️,common,1,1,1×1,1×1,нет,,нет,да,,gem; fire; craft,0,0,0,0,0,0,0,,groundFire; statMult,,passive,groundFire v=2 | statMult @passive v=0.06 stat=damage,,0,,Сколотый рубин: Сокет оружия: Шанс получить Жар на попадание. Сокет аксессуара: +урон. Сокет брони: Сопротивление Холоду.,,4.9,4.9,1,5.5,0.891,0.583
chipped_sapphire,Сколотый сапфир,◇💙,common,1,1,1×1,1×1,нет,,нет,да,,gem; cold; craft,3,0,0,0,0,0,0,,slow; statMult,,passive,slow v=0.1 | statMult @passive v=-0.05 stat=cooldown,,0,,Сколотый сапфир: Сокет оружия: Шанс наложить Холод на попадание. Сокет аксессуара: +удача. Сокет брони: +блок.,,5.1,5.1,1,5.5,0.927,0.607
chipped_topaz,Сколотый топаз,◇💛,common,1,1,1×1,1×1,нет,,нет,да,,gem; luck; craft,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=-0.08 stat=cooldown,,0,,Сколотый топаз: Сокет оружия: Быстрее атаки. Сокет аксессуара: Предметы срабатывает быстрее. Сокет брони: +выносливости реген.,,3.3,3.3,1,5.5,0.6,0.393
starter_bag,Сумка,👜,common,0,9,3×3,3×3 (9 кл.),да,9,нет,нет,,bag,0,,0,0,0,0,0,,,,,,,0,,,,0,0,0,5.5,0,0
lucky_charm,Талисман,🍀,common,2,4,2×2,2×2 (4 кл.),нет,,нет,да,,utility; gem,0,0,0,0,0,0,0,,passiveLuck,,passive,passiveLuck @passive v=35,,0,,,,105.2,26.3,0.5,5.5,4.782,3.131
whetstone,Точильный камень,🪨,common,4,1,1×1,1×1,нет,,нет,да,,accessory; craft; utility,0,0,0,0,0,0,0,,synergyHint; weaponDamageStart,,passive; battle_start,synergyHint @passive v=1 | weaponDamageStart @battle_start v=1,,1,migrated_damage_1 strong →weapon +damageBonus:1,В начале боя: оружие +1 урона.,,0.5,0.5,4,5.5,0.091,0.06
healing_herb,Целебная трава,🌿,common,2,2,2×1,2×1 (2 кл.),нет,,нет,да,,food; nature,4,0,0,0,0,0,0,,heal,,,heal v=5,,1,nature_food_boost strong →nature +healBonus:1,,,5.2,2.6,1,5.5,0.473,0.31
healing_herbs,Целебные травы,🌿,common,4,1,1×1,1×1,нет,,нет,да,,food; nature,4,0,0,0,0,0,0,,statMult; gainStack,,passive; battle_start,statMult @passive v=0.08 stat=damage | gainStack @battle_start v=2 stack=luck,,0,,В начале боя: +2 удачи.,,8.3,8.3,4,5.5,1.509,0.988
garlic,Чеснок,🧄,common,2,1,1×1,1×1,нет,,нет,да,,food; poison; nature,4,0,0,0,0,0,0,,heal; periodic,,passive,heal v=2 | periodic @passive int=4,,0,,Каждые 4с: +3 блока. 30% снять 1 дебафф.,,7.2,7.2,2,5.5,1.309,0.857
apple,Яблоко,🍎,common,1,1,1×1,1×1,нет,,нет,да,,food,2.5,0,0,0,0,0,0,,heal,,,heal v=3,,0,,,,4.9,4.9,1,5.5,0.891,0.583
poison_vial,Яд,☠️,common,2,1,1×1,1×1,нет,,нет,да,,poison,4.5,0,0,0,0,0,0,,poison,,,poison v=1,,0,,,,1.3,1.3,2,5.5,0.236,0.155
poison_dagger,Ядовитый кинжал,🗡️,common,3,2,1×2,1×2 (2 кл.),нет,,нет,нет,,weapon; poison,2.6,12,2,0,0,0,0,,damage; poison; extraAttackOnStun,,on_hit; passive,damage v=2 rng=1-2 | poison @on_hit v=2 | extraAttackOnStun @passive,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,17.1,8.55,1.5,5.5,1.555,1.018
speed_amulet,Амулет скорости,⚡,uncommon,5,1,1×1,1×1,нет,,нет,да,,gem,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=-0.12 stat=cooldown,,0,,,,5.4,5.4,5,5.55,0.973,0.643
antitoxin,Антидот,🧴,uncommon,3,1,1×1,1×1,нет,,нет,да,,utility; nature,3.5,0,0,0,0,0,0,,heal,,,heal v=4,,0,,,,4.9,4.9,3,5.55,0.883,0.583
hero_sword,Геройский меч,⚔️,uncommon,0,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon,2.4,12,6,0,0,0,0,,damage,,,damage v=6 rng=4-8,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,20.6,10.3,0,5.55,1.856,1.226
rage_potion,Зелье ярости,🧪,uncommon,8,1,1×1,1×1,нет,,нет,да,,food,6,0,0,0,0,0,0,,buffTimed,,,buffTimed v=0.3 stat=damage,,0,,,,4.8,4.8,8,5.55,0.865,0.571
spark_stone,Искорка,✨,uncommon,4,1,1×1,1×1,нет,,нет,да,,utility; magic,3,0,0,0,0,0,0,,damage,,,damage v=3 rng=1-3,,1,magic_near_gem strong →gem +cooldownReduction:0.08,,,5.2,5.2,4,5.55,0.937,0.619
health_stone,Камень здоровья,❤️,uncommon,5,1,1×1,1×1,нет,,нет,да,,gem,5,0,0,0,12,0,0,,passiveMaxHp; heal,,passive,passiveMaxHp @passive v=12 | heal v=4,,1,health_stone_food strong →food +healBonus:1,,,11.6,11.6,5,5.55,2.09,1.381
beast_fang,Клык зверя,🦷,uncommon,6,1,1×1,1×1,нет,,нет,да,,weapon,0,4,0,0,0,0,0,,statMult,,passive,statMult @passive v=-0.15 stat=cooldown | statMult @passive v=0.1 stat=damage,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,10.2,10.2,6,5.55,1.838,1.214
ring_of_power,Кольцо силы,💍,uncommon,5,2,1×2,1×2 (2 кл.),нет,,нет,да,,gem,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=0.15 stat=damage,,0,,,,5.9,2.95,2.5,5.55,0.532,0.351
enchanted_staff,Магический посох,🪄,uncommon,0,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; magic,2.2,11,5,0,0,0,0,,damage,,,damage v=5 rng=2-5,,3,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1 | magic_near_gem strong →gem +cooldownReduction:0.08,,,13.7,6.85,0,5.55,1.234,0.815
mana_crystal,Мана-кристалл,💎,uncommon,5,2,1×2,1×2 (2 кл.),нет,,нет,да,,magic; gem,2,0,4,0,0,0,0,,damage,,,damage v=4 rng=1-4,,1,magic_near_gem strong →gem +cooldownReduction:0.08,,,11.4,5.7,2.5,5.55,1.027,0.679
frost_crystal,Морозный кристалл,❄️,uncommon,6,2,1×2,1×2 (2 кл.),нет,,нет,да,,magic; gem,3,0,4,0,0,0,0,,damage; slow,,,damage v=4 rng=1-4 | slow v=0.15,,1,magic_near_gem strong →gem +cooldownReduction:0.08,,,11.5,5.75,3,5.55,1.036,0.685
fire_crystal,Огненный кристалл,🔥,uncommon,6,2,1×2,1×2 (2 кл.),нет,,нет,да,,fire; gem,2.5,0,0,0,0,0,0,,damage,,,damage v=5 rng=2-5,,0,,,,10.6,5.3,3,5.55,0.955,0.631
spider_web,Паутина,🕸️,uncommon,5,2,2×1,2×1 (2 кл.),нет,,нет,да,,nature,4,0,0,0,0,0,0,,slow,,,slow v=0.1,,0,,,,2.8,1.4,2.5,5.55,0.252,0.167
spectral_dagger,Призрачный кинжал,👻,uncommon,0,1,1×1,1×1,нет,,да,нет,,weapon; magic,1.6,8,5,0,0,0,0,,damage; spendStack; extraAttackOnStun,,on_hit; passive,damage v=5 rng=2-5 | spendStack @on_hit v=1 stack=mana | extraAttackOnStun @passive,,3,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1 | magic_near_gem strong →gem +cooldownReduction:0.08,,,25.9,25.9,0,5.55,4.667,3.083
backpack,Рюкзак,🎒,uncommon,4,3,1×3,1×3 (3 кл.),да,3,нет,да,,bag,0,,0,0,0,0,0,,,,,,,0,,,,0,0,1.33,5.55,0,0
squirrel,Белка,🐿️,rare,5,1,1×1,1×1,нет,,да,нет,rogue,pet; craft,4,0,0,0,0,0,0,,periodic; cooldownMultPerTag,,passive,periodic @passive int=4 | cooldownMultPerTag @passive tags=pet+food,,0,,Каждые 4с: украсть 1 урона у оружия противника. Быстрее на 15% за питомца/еду.,,10.1,10.1,5,9.75,1.036,1.202
large_sack,Большой мешок,🛄,rare,9,6,2×3,2×3 (6 кл.),да,6,нет,да,,bag,0,,0,0,0,0,0,8,,,,,,0,,,,0,0,1.5,9.75,0,0
great_shield,Большой щит,🛡️,rare,8,4,2×2,2×2 (4 кл.),нет,,нет,да,,armor; shield,3,0,0,0,0,0,0,,block,,,block v=18,,1,great_shield_armor_pair strong →armor +blockBonus:2,,,32.6,8.15,2,9.75,0.836,0.97
hero_long_sword,Геройский длинный меч,🗡️,rare,0,3,1×3,1×3 (3 кл.),нет,,да,нет,,weapon,2.8,15,11,0,0,0,0,,damage,,,damage v=11 rng=8-14,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,33.2,11.07,0,9.75,1.135,1.318
bunch_of_coins,Горсть монет,🪙,rare,9,1,1×1,1×1,нет,,да,нет,,accessory; melee; treasure; craft,0,0,0,0,0,0,0,,passiveLuck,break_piggybank; sell_bonus,passive; craft,passiveLuck @passive v=5,break_piggybank @craft | sell_bonus @passive v=0.5,0,,"Ничего не делают, но их можно продать с прибылью!",,16.1,16.1,9,9.75,1.651,1.917
burning_coal,Горящий уголь,🔥,rare,2,1,1×1,1×1,нет,,да,нет,,accessory; fire; craft,5,0,0,0,0,0,0,,statMult; gainStack; bonusDamageOnHit; periodic,,passive; battle_start; on_hit,statMult @passive v=0.08 stat=damage | gainStack @battle_start v=12 stack=heat | bonusDamageOnHit @on_hit v=6 ch=12% | periodic @passive int=5,,0,,"12% +6 урона и +1 жар. В начале боя: +12 жара. Каждые 5с: +2 жара, снять 3 дебаффа.",,38,38,2,9.75,3.897,4.524
goobert,Губерт,🟢,rare,6,1,1×1,1×1,нет,,нет,да,,pet; craft,5,0,0,0,0,0,0,,heal; activationThreshold,,passive,heal v=2 | activationThreshold @passive,,0,,После 6 активаций предметов: +12 HP и +2 жара (раз).,,5.3,5.3,6,9.75,0.544,0.631
flawed_amethyst,Дефектный аметист,◆💜,rare,2,1,1×1,1×1,нет,,да,нет,,gem; magic; craft,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=0.1 stat=magicDamage,,1,magic_near_gem strong →gem +cooldownReduction:0.08,Дефектный аметист: Сокет оружия: Шанс снять баффы на попадание. Сокет аксессуара: +маны. Сокет брони: +магия сопротивление.,,1.7,1.7,2,9.75,0.174,0.202
flawed_emerald,Дефектный изумруд,◆💚,rare,2,1,1×1,1×1,нет,,да,нет,,gem; poison; craft,3,0,0,0,0,0,0,,heal; passiveMaxHp,,passive,heal v=3 | passiveMaxHp @passive v=5,,0,,Дефектный изумруд: Сокет оружия: Лечение на попадание. Сокет аксессуара: +макс. ОЗ. Сокет брони: +реген.,,6.2,6.2,2,9.75,0.636,0.738
flawed_ruby,Дефектный рубин,◆❤️,rare,2,1,1×1,1×1,нет,,да,нет,,gem; fire; craft,0,0,0,0,0,0,0,,groundFire; statMult,,passive,groundFire v=2 | statMult @passive v=0.06 stat=damage,,0,,Дефектный рубин: Сокет оружия: Шанс получить Жар на попадание. Сокет аксессуара: +урон. Сокет брони: Сопротивление Холоду.,,5,5,2,9.75,0.513,0.595
flawed_sapphire,Дефектный сапфир,◆💙,rare,2,1,1×1,1×1,нет,,да,нет,,gem; cold; craft,3,0,0,0,0,0,0,,slow; statMult,,passive,slow v=0.1 | statMult @passive v=-0.05 stat=cooldown,,0,,Дефектный сапфир: Сокет оружия: Шанс наложить Холод на попадание. Сокет аксессуара: +удача. Сокет брони: +блок.,,5.2,5.2,2,9.75,0.533,0.619
flawed_topaz,Дефектный топаз,◆💛,rare,2,1,1×1,1×1,нет,,да,нет,,gem; luck; craft,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=-0.08 stat=cooldown,,0,,Дефектный топаз: Сокет оружия: Быстрее атаки. Сокет аксессуара: Предметы срабатывает быстрее. Сокет брони: +выносливости реген.,,3.4,3.4,2,9.75,0.349,0.405
titan_armor,Доспех титана,🦾,rare,10,4,2×2,2×2 (4 кл.),нет,,нет,да,,armor,0,0,0,16,15,0,0,,passiveDefense; passiveMaxHp,,passive,passiveDefense @passive v=16 | passiveMaxHp @passive v=15,,0,,,,47,11.75,2.5,9.75,1.205,1.399
manathirst,Жаждущий маны,🩸,rare,0,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; magic,2.2,11,6,0,0,0,0,,damage; lifesteal,,passive,damage v=6 rng=2-6 | lifesteal @passive v=0.15,,3,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1 | magic_near_gem strong →gem +cooldownReduction:0.08,,,21.8,10.9,0,9.75,1.118,1.298
star_of_courage,Звезда мужества,⭐,rare,1,1,1×1,1×1,нет,,нет,да,,accessory; holy,0,0,0,0,0,0,0,,,starting_value,passive,,starting_value @passive v=1,1,star_courage_aura strong →weapon+pet+armor+shield +damageBonus:2,Стартовый предмет из случайного броска сумки. Стоимость 1 золота; нет боевого эффекта.,,0.1,0.1,1,9.75,0.01,0.012
health_potion,Зелье здоровья,🧪❤️,rare,4,1,1×1,1×1,нет,,нет,да,,potion; consumable; heal; nature,3,0,0,0,0,0,0,,heal; hpThreshold,,passive,heal v=6 | hpThreshold @passive,,0,,При HP ниже 50%: +11 HP и снять 4 дебаффа (раз).,,8.4,8.4,4,9.75,0.862,1
customer_card,Карта покупателя,💳,rare,4,1,1×1,1×1,нет,,нет,да,,accessory; treasure,0,0,0,0,0,0,0,,procChanceBonus,rarity_up; trade_offer,passive; shop_refresh,procChanceBonus @passive v=0.1,rarity_up @shop_refresh v=1 | trade_offer @shop_refresh v=3 ch=10%,0,,Магазин: повышение редкости. +10% к прокам.,,2.5,2.5,4,9.75,0.256,0.298
tusk_poker,Клыковый колун,🦷🏹,rare,8,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; spikes; ranged; craft,1.8,1,2,0,0,1,0,,damage; gainStack; damagePerStack,,on_hit; passive,damage v=2 rng=2-3 | gainStack @on_hit v=1 ch=50% stack=spikes | damagePerStack @passive v=1 stack=spikes,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: 50% шанс +1 шип. +1 урона за шип.,,18.5,9.25,4,9.75,0.949,1.101
leather_armor,Кожаная броня,🦺,rare,7,5,2×3,2×3 (5 кл.),нет,,нет,да,,armor,0,0,0,4,0,2,0,,passiveDefense; statMult; gainStack,,passive; battle_start,passiveDefense @passive v=4 | statMult @passive v=0.08 stat=damage | gainStack @battle_start v=45 stack=block,,1,migrated_block_1 strong →shield +blockBonus:1,В начале боя: +45 блока.,,129.1,25.82,1.4,9.75,2.648,3.074
deck_of_cards,Колода карт,🃏,rare,3,1,1×1,1×1,нет,,нет,да,,accessory; card; luck,0,0,0,0,0,0,0,,statMult; gainStack; procChanceBonus,offer_tag,passive; battle_start; shop_pool,statMult @passive v=0.08 stat=damage | gainStack @battle_start v=2 stack=luck | procChanceBonus @passive v=0.05,offer_tag @shop_pool tag=card,0,,В начале боя: +2 удачи. +5% к прокам.,,11.2,11.2,3,9.75,1.149,1.333
spear,Копьё,🔱,rare,6,3,1×3,1×3 (3 кл.),нет,,нет,да,,weapon; melee; craft,1.5,1,5,0,0,1,0,,damage; breakBlockOnHit,,on_hit,damage v=5 rng=3-8 | breakBlockOnHit @on_hit v=4,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: снять 4 блока у противника.,,34.2,11.4,2,9.75,1.169,1.357
blood_stone,Кровавый камень,🩸,rare,10,2,1×2,1×2 (2 кл.),нет,,нет,да,,gem,3.5,0,5,0,0,0,0,,lifesteal; passiveMaxHp; damage,,passive,lifesteal @passive v=0.22 | passiveMaxHp @passive v=10 | damage v=5 rng=1-5,,0,,,,22.5,11.25,5,9.75,1.154,1.339
rat_chef,Крыса-повар,🐀👨‍🍳,rare,8,1,1×1,1×1,нет,,да,нет,,pet; craft,7,0,0,0,0,0,0,,heal; tagScaledStack; periodic; cooldownMultPerTag,,battle_start; passive,heal v=2 | tagScaledStack @battle_start stack=luck tag=food | periodic @passive int=7 | cooldownMultPerTag @passive tags=pet+food,,0,,В начале боя: +1 удача за еду. Каждые 7с: +2 выносливости и +1 усиление. Быстрее на 15% за питомца/еду.,,11.6,11.6,8,9.75,1.19,1.381
shovel,Лопата,⛏️,rare,8,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; debuff; melee; craft,2.2,1.5,6,0,0,0,0,,damage; slow,dig_item,shop_enter,damage v=6 rng=5-8 | slow v=0.12 ch=40%,dig_item @shop_enter v=1,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При входе в магазин: Выкопать случайный предмет. При попадании: 40% шанс наложить 1 стак(ов),,34.4,17.2,4,9.75,1.764,2.048
knight_sword,Меч рыцаря,⚔️,rare,9,3,1×3,1×3 (3 кл.),нет,,нет,да,,weapon,3.2,17,16,0,0,0,0,,damage,,,damage v=16 rng=12-16,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,39.9,13.3,3,9.75,1.364,1.583
bag_of_stones,Мешок камней,🪨,rare,3,1,1×1,1×1,нет,,нет,да,,accessory; nature,0,0,0,0,0,0,0,,stonesMultiThrow,,passive,stonesMultiThrow @passive,,0,,Камни можно метать многократно.,,0.4,0.4,3,9.75,0.041,0.048
